name,address,city,province,postalcode,latitude,longitude,days_since_last_visit,ensemble_pred_prob,times_noncomplient
"THE OZAR HATORAH FOUNDATION, INC.",2949  BATHURST STREET,TORONTO,ON,M6B3B2,43.716785,-79.429718,291,0.122737268,3
INTERLICO INC.,1836  DORSET DRIVE,OTTAWA,ON,K1H5V1,45.388514,-75.64331,66,0.150911691,4
NATIONAL CGIT ASSOCIATION,195  THE WEST MALL,ETOBICOKE,ON,M9C5K1,43.62685,-79.557831,314,0.013265414,3
OMNISPEC INSPECTIONS LIMITED,102 MAIN STREET,ERIN,ON,N0B1T0,43.770321,-80.079522,326,0.356698214,1
128705 CANADA INC.,4801  CEDAR CRESCENT,MONTREAL,QC,H3W2J1,45.488421,-73.619305,225,0.668246352,4
AGRO MANUFACTURING & INVESTMENTS CO. LIMITED,307 GILMOUR ST,OTTAWA,ON,K2P0P7,45.415564,-75.692218,342,0.553693104,1
BIENVENUE TRANSPORT (ST VALERIEN) LTD.,200  RUE ST-JACQUES,MONTREAL,QC,H2Y1M1,45.496197,-73.565369,309,0.002116929,1
MARINIER AUTOMOBILES INC.,5 chemin Maurice,MESSINES,QC,J0X2J0,46.266619,-76.022944,146,0.285269871,1
GESTION R.G. FLEET HOLDINGS LIMITED,380  RUE FORTIN,VILLE DE VANIER,QC,G1M1B1,46.826587,-71.274398,354,0.111285209,3
TRANSCANADA PIPELINES (NEW BRUNSWICK) LIMITED,111  5TH AVENUE S.W.,CALGARY,ON,T2P3Y6,51.04837,-114.066367,114,0.758398492,3
LES SYSTEMES A-PLUS CANADA LTEE,27 GINGERWOOD,KIRKLAND,QC,H9J1R9,45.441665,-73.863998,153,0.121196942,5
ARAGON FOOD PRODUCTS LTD.,950  RUE DE L'INDUSTRIE,ST-JEROME,QC,J7Y4B8,45.792328,-74.022339,23,0.900651982,5
GUY BERGERON CONSULTANT INC.,65  EST RUE SHERBROOKE,MONTREAL,QC,H2X1C4,45.513059,-73.569159,194,0.809528203,1
BOWMAN BROTHERS DISTRIBUTORS LIMITED,125  HIGGINGS AVENUE,WINNIPEG,MB,R3B0B6,49.904133,-97.127104,353,0.01805499,2
DENIS COLLETTE & ASSOCIES LTEE,1  PARK SAMUEL HOLLAND,QUEBEC,QC,G1S4P2,46.796139,-71.25124,55,0.247334918,1
80897 CANADA LIMITEE,10  KIMBALL STREET,LEAMINGTON,ON,N8H3P9,42.019455,-82.580934,45,0.389155685,4
80931 CANADA LTEE,COMMERCE COURT WEST,TORONTO,ON,M5L1B9,43.648609,-79.379967,79,0.099838951,4
80937 CANADA LIMITED,373  STE. CATHERINE ST. WEST,MONTREAL,QC,H3B1A4,45.506212,-73.567019,201,0.790591251,3
VALCO WOOD PRODUCTS LTD.,"1150, 95E RUE",VILLE ST-GEORGES COMTE BEAUCE,QC,G5Y8J3,46.138317,-70.677359,57,0.620975384,2
BANNER AUTO PARTS CANADA LTD.,201  21ST STREET EAST,SASKATOON,SK,S7K0B8,52.126821,-106.664479,25,0.888714269,1
PHASE ONE TRAFFIC CONTROLS LTD.,1465  PROVENCHER,VILLE BROSSARD,QC,J4W1Z3,45.473402,-73.482631,333,0.863336408,2
LES ENTREPRISES QUEMCO LTEE,1980 RUE SAINTE-CATHERINE EST,MONTREAL,QC,H2K2H8,45.523643,-73.55141,128,0.163935442,5
AM-RO INTERNATIONALE LTEE,145  GRAVELINE STREET,ST-LAURENT,QC,H4T1R3,45.474136,-73.703981,150,0.807262915,2
NUT KIOSKS INTERNATIONAL LTD.,1030  WEST GEORGIA STREET,VANCOUVER,BC,V6E3C4,49.293545,-123.11615,147,0.181548434,4
VIA RAIL CANADA INC.,3  PLACE VILLE-MARIE,MONTREAL,QC,H3B2C9,45.501437,-73.570086,284,0.150951641,2
ESTONIAN CANADIAN FESTIVALS FOUNDATION,958  BROADVIEW AVENUE,TORONTO,ON,M4K2R6,43.681473,-79.357925,271,0.035209981,4
PUR-PAK MEATS LTD.,11  BEL AIRE PLACE,CALGARY,AB,T2V2C3,50.999239,-114.092636,221,0.499841148,4
GESTION A.N. LTEE,2192  ST-CATHERINE WEST,MONTREAL,QC,H3H1M9,45.490947,-73.58263,57,0.614981971,1
AUTOBUS GASTON & SYLVIO HEBERT INC.,"1602, boul. Lemire",Drummondville,QC,J2C5A4,45.870872,-72.511105,269,0.230091775,4
KENGOL INC.,6301 Place Northcrest  Unit 12U,Montreal,QC,H3S2W4,45.512188,-73.625013,274,0.557985227,5
STELLA MANAGEMENT GROUP LTD.,1208  AVE BEAUPRE,STE-FOY,QC,G1W4C1,46.749204,-71.234358,247,0.499781469,2
PINLY HOLDINGS CO. LTD.,374  3RD AVENUE SOUTH,SASKATOON,AB,S7K1M5,52.122747,-106.663849,162,0.732690685,5
REICH MANAGEMENT LTD.,364  PORTAGE AVENUE,WINNIPEG,MB,R3C0C5,49.83627,-97.047674,202,0.16700909,5
REMY BROCHU GARAGE INC.,919  ST-NICHOLAS EST,"ST-NICHOLAS, COMTE LEVIS",QC,G7A3T3,46.713303,-71.355972,147,0.778824591,5
CLINIQUE STAT HIPPOLYTE-LAFONTAINE DES MEDECINS LTEE,263  RUE PRINCIPALE,GRANBY,QC,J2G2W1,45.401055,-72.729295,253,0.059400212,4
CLINIQUE STAT (ILE JESUS) DES MEDECINS LTEE,263  RUE PRINCIPALE,GRANBY,QC,J2G2W1,45.401055,-72.729295,214,0.323773853,2
CLINIQUE STAT (NOTRE-DAME DE FATIMA) DES MEDECINS LTEE,263  RUE PRINCIPALE,GRANBY,QC,J2G2W1,45.401055,-72.729295,319,0.492886963,1
CLINIQUE STAT PORT DE MER DES MEDECINS LTEE,263  RUE PRINCIPALE,GRANBY,QC,J2G2W1,45.401055,-72.729295,246,0.829014552,5
CLINIQUE STAT (GRANBY) DES MEDECINS LTEE,125  RUE PRINCIPALE,GRANBY,QC,J2G2T9,45.398694,-72.72369,9,0.72953094,1
C.R.W. INVESTMENTS LTD.,BOX 129,PORTLAND,ON,K0G1V0,44.700862,-76.202427,175,0.845046654,4
PRINTPAK LIMITED/LIMITEE,3154  INDUSTRIAL BLVD.,"CHOMEDEY, LAVAL",QC,H7L4P7,45.591366,-73.744381,11,0.646829664,3
TOPRINGS LTEE,1020 BOUL. INDUSTRIEL,GRANBY,QC,J2J1A4,45.379394,-72.769287,363,0.59289447,3
LES CRAVATES ABBEY LTEE,210-9475 rue Meilleur,Montréal,QC,H2N2C5,45.537527,-73.655258,162,0.721431656,2
CREATIONS DU CO PA INC.,1525  BOULEVARD D'AUTEUIL,"DUVERNAY, LAVAL",QC,H7E3J5,45.602161,-73.673101,323,0.775216872,4
DEPANNEUR REJAC LIMITEE,305  RUE PELLETIER,LONGUEUIL,QC,J4L1G2,45.527264,-73.461978,245,0.596795609,5
LES MATERIAUX DE CONSTRUCTION JAL-VON LTEE,4830  MONTEE ST-HUBERT,ST-HUBERT,QC,J3Y1V1,45.486599,-73.437105,182,0.153584322,2
GEORGES TREMBLAY AUTO ELECTRIQUE LTEE,287 AVE. JUBINVILLE,LAVAL,QC,H7G3E3,45.567947,-73.684319,231,0.4143434,5
BATAMA INVESTMENTS LTD.,387 NIAGARA STREET,WINNIPEG,MB,R3N0V3,49.868712,-97.185911,253,0.893894264,1
DESIGN FILMS LTD.,50  WEST WILMOT STREET,RICHMOND HILL,ON,L4B1M5,43.852316,-79.389005,119,0.128121613,5
JEN & JON TEXTILES LTD.,330  ST-MARY AVE,WINNIPEG,MB,R3C4E1,49.890036,-97.142398,115,0.650767875,1
LES PIPES S.C. CANADA LTEE,38  CHURCHILL,HUNTINGDON,QC,J0S1H0,45.08677,-74.169704,335,0.350231228,3
DOLORES BENCH RESOURCES LIMITED,145  KING STREET WEST,TORONTO,ON,M5H2J3,43.648204,-79.381826,104,0.102745967,5
AGENCE DRIVEBEC INC.,150  AVE. DORVAL,DORVAL,QC,H9S3H1,45.440436,-73.739915,164,0.604777846,5
CONSTRUCTION R.B.W. LTEE,5814  PREBOIS,ST-LEONARD,QC,H1T1J1,45.581529,-73.571098,215,0.486521725,4
MANUFACTURIER DASA LTEE,20 Tumbleweed Road,Toronto,ON,M2J2N3,43.784363,-79.357948,50,0.857595151,2
MAC-VAL INVESTMENTS LTD.,360  MAIN STREET,WINNIPEG,MB,R3C3H6,49.9656,-97.079296,149,0.915694967,2
GEORGES LAPLANTE AGENT D'ASSURANCE LIMITEE,2000 NOTRE-DAME,LAVALTRIE,QC,J5T1N5,45.898962,-73.26804,244,0.030841925,4
LES PLACEMENTS ROUYN-NORANDA LTEE,89 CHEMIN DE LA MINE BRISTOL,BRISTOL,QC,J0X1G0,45.536468,-76.390987,364,0.021033693,2
GESTION CLADREW INC.,108  DE PICARDIE,ST. LAMBERT,QC,J4S1T6,45.483758,-73.502266,96,0.851547892,5
LES PRODUCTIONS WAXWING LTEE,139  SCARBOROUGH RD.,TORONTO,ON,M4E3M4,43.675613,-79.284767,354,0.204899043,4
FAVORITE BOOT WEAR INC.,11  CLARENCE SQUARE,TORONTO,ON,M5V1H1,43.64481,-79.393578,130,0.06433872,5
LES INDUSTRIES BORMONT INC.,253  SHEPPARD AVENUE WEST,DOWNSVIEW,QC,M2N1N2,43.758934,-79.421921,239,0.13337048,1
"LANGLOIS, BERTRAND, MALOUIN, LEBLANC INC.",485  MCGILL,MONTREAL,QC,H2Y2H4,45.501037,-73.559188,166,0.556156568,1
IMMEUBLES ELISAR CORP.,5595 WILDERTON,MONTREAL,QC,H3S2V1,45.509815,-73.62176,108,0.33524401,5
LES ACCESSOIRES DE LUNETTES BARDON LTEE,40  TROTTIER,DOLLARD DES ORMEAUX,QC,H9A2E1,45.502204,-73.820287,32,0.351062134,5
GUITE & RUEST INC.,140  RUE ST-BARNABE,RIMOUSKI,QC,G5L3E4,48.453431,-68.523498,228,0.311316032,3
INNOVATION CANADA INC.,2 WOODPARK ROAD,WESTON,ON,M9P1M1,43.687017,-79.536865,65,0.687799718,4
INTERSONDE CONSULTANTS LIMITED,174  DUFFERIN ROAD,OTTAWA,ON,K1M2A6,45.4423,-75.681354,31,0.492857241,3
CLIC LABORATORY LTD.,4360  RUE D'IBERVILLE,MONTREAL,QC,H2H2L8,45.53849,-73.567857,166,0.25404985,1
LES CONSTRUCTEURS MONTEREGIENS LTEE,965  LAROCHE,STE-THERESE,QC,J7E4H6,45.653485,-73.833752,275,0.872420463,5
RICHELIEU DOORS LTD.,3112  RUE BERNARD PILON,BELOEIL,QC,J3G4S5,45.578593,-73.260381,338,0.992557334,2
LONG SHOTS INC.,365  BAY STREET,TORONTO,ON,M5H2V1,43.651005,-79.380928,80,0.081662883,5
LES GESTIONS MONIT LTEE,1000 Sherbrooke Street West,Montreal,QC,H3A3G4,45.502516,-73.575903,87,0.456709797,3
AGENCES NORMAN SCHACTER LTEE,27  QUEEN STREET EAST,TORONTO,ON,M5C2M6,43.652523,-79.377747,14,0.970318389,4
TABAH MEDICAL SERVICES INC.,1538  SHERBROOKE STREET WEST,MONTREAL,QC,H3G1L5,45.496972,-73.58082,260,0.050941906,2
FRED RUMBLE LTD.,10235  101 STREET N.W.,EDMONTON,AB,T5J3G1,53.545092,-113.492993,350,0.795344424,1
L'Association des pilotes maritimes du Canada (G.M.M.C.),27 Auriga Drive,OTTAWA,ON,K2E0B1,45.332787,-75.703148,127,0.815864568,3
CASTEL TINA LTEE,"4885  EST, BOULEVARD JEAN-TALON",ST-LEONARD (MONTREAL),QC,H1S1K5,45.574046,-73.585064,157,0.434982326,3
CONCEPCION MANAGEMENT CORPORATION LIMITED,5  DRESDEN RD.,DOWNSVIEW,QC,M3H1W8,43.740746,-79.449509,57,0.361023539,3
LES ENTREPRISES I.P.R. (MATAGAMI) LTEE,63  RUE DUMAS,MATAGAMI,QC,J0Y2A0,49.756227,-77.631613,223,0.775164404,3
JOBER HOLDINGS INC.,815 - 10TH AVE. S.W.,CALGARY,AB,T2R0B4,51.043662,-114.079414,63,0.516141773,5
LES ENTREPRISES PIERRE GAUTHIER LTEE,2815  RUE CHARLAND,MONTREAL,QC,H1Z1E2,45.574536,-73.636464,261,0.805749575,1
MIRA-LUX INDUSTRIES INC.,1130  SHERBROOKE ST. W.,MONTREAL,QC,H3A2M8,45.501294,-73.577041,275,0.77099399,3
IMPORT FASHIONS (J.R.S.) LTD.,16  SUNNYDALE,DOLLARD DES ORMEAUX,QC,H9B1E2,45.494906,-73.80399,26,0.447638998,5
LES PLACEMENTS ANDRE L'ESPERANCE LTEE,507 PLACE D'ARMES,MONTRÉAL,QC,H2Y2W8,45.504889,-73.557276,8,0.607984116,3
LES TAPIS ANDRE BERARD LTEE,644  RUE DUFFERIN,GRANBY,QC,J2G8C9,45.412974,-72.718854,28,0.601745596,5
MAROBMAC CHRISTIAN FAITH PUBLICATIONS INCORPORATED,390  BAY STREET,TORONTO,ON,M5H2Y2,43.65144,-79.382051,308,0.136928856,4
176524 CANADA INC.,"40  EST, RUE ST-GERMAIN",RIMOUSKI,QC,G5L1A2,48.451921,-68.526366,275,0.037598499,5
TRUCKWAY FINANCE COMPANY LIMITED,10  FORWELL ROAD,KITCHENER,ON,N2B3E7,43.472419,-80.435415,221,0.125084466,4
177664 CANADA INC.,303 RUE GEORGES-SYLVAIN,RIMOUSKI,QC,G5L6H2,48.438188,-68.533528,229,0.264059289,3
COMPAGNIE DE TRAITEMENT DU BOIS TDL LTEE,1050  BEAVER HALL HILL,MONTREAL,QC,H2Z1S4,45.50223,-73.564191,54,0.444318659,1
THOR INDUSTRIES CANADA LTEE,150 DUNLOP STREET EAST,BARRIE,ON,L4M6H1,44.390566,-79.677581,345,0.45080604,2
EMJAY REALTIES LTD.,"1300  DON MILLS RD.,",DON MILLS,QC,M3B2W6,43.745422,-79.346687,16,0.06166002,3
LES ENTREPRISES DE PEINTURE YVON GIGUERE INC.,2400  BOUL. MONTMORENCY,QUEBEC,QC,G1J5E7,46.836463,-71.215903,100,0.959517375,1
MACHINERIE L. PIEREDER LTEE,7052  VICTORIA AVENUE,MONTREAL,ON,H4P2N5,45.498633,-73.648344,277,0.629948728,2
EQUIPEMENT LOBEC (1977) LTEE,4710  ST-AMBROISE,MONTREAL,QC,H4C2C7,45.475023,-73.581019,63,0.522674988,3
ALCOOLS ET PRODUITS CHIMIQUES POLYSOLV LTEE,4645  BOUL. DES GRANDES PRAIRIE,ST-LEONARD,QC,H1R1A5,45.585792,-73.622102,257,0.741094408,1
RECEPTOUR TRAVEL AGENCY LTD.,555  BOUL. RENE-LEVESQUE,MONTREAL,QC,H2Z1B1,45.501989,-73.563107,96,0.962204859,4
SOCIETE DE CONSTRUCTION TECHNICOR INTERNATIONAL LTEE,5250  RUE FERRIER,MONTREAL,QC,H4P1L6,45.498805,-73.656198,179,0.533970611,1
DOMINION-PEGASUS HELICOPTERS LTD.,P.O. BOX 637,DRYDEN,ON,P8N2Z3,49.778577,-92.698398,115,0.959922276,2
LEDUC & LAROCQUE SERVICES LTEE,495 MONTÉE SAINT-AMOUR,GATINEAU,QC,J8R0A6,45.538315,-75.709566,5,0.419960051,1
IPSCO INC.,1874  SCARTH STREET,REGINA,SK,S4P4E9,50.449079,-104.611228,27,0.091445354,5
COM-PRO-TYPE LTD./LTEE,5910  COTE DE LIESSE ROAD,MONT ROYAL,QC,H4T1C9,45.491389,-73.679971,153,0.829312341,1
TAPIS SALABERRY LTEE,4351 Boulevard Notre-Dame,LAVAL,QC,H7W1T3,45.53828,-73.75728,296,0.650867662,3
LES EQUIPEMENTS SONAT LTEE,1250  MONTEE DE LIESSE,ST-LAURENT,QC,H4S1J4,45.487922,-73.724015,279,0.138259789,4
L'INSTITUT D'ENGAGEMENT POLITIQUE,181  UNIVERSITY AVENUE,TORONTO,ON,M5H3M7,43.649021,-79.385646,65,0.515357802,4
KAGYU DHARMA SOCIETY FOR ALL TRADITIONS (KAGYU RIMAY CHUDAY),1010  ST. CATHERINE ST. WEST,MONTREAL,QC,H3B3R5,45.501877,-73.57109,132,0.890390183,1
KIDS & TEENS LTD.,50  KEEWATIN STREET,WINNIPEG,MB,R2X2R9,49.926335,-97.19602,87,0.356933955,2
AUTOBUS J.L. ROUSSEAU (1991) INC.,445  RUE PRINCIPALE,STE-BRIGITTE DES SAULTS,QC,J0C1E0,46.03008,-72.480462,80,0.912250027,5
GESTION NOKLU INC.,742 Main Road,Hudson,QC,J0P1H0,45.454585,-74.149277,12,0.769875819,2
SWISSVAC OUTRE-MER LTEE,31 HALILBURTON BAY,WINNIPEG,MB,R3K1E1,49.867775,-97.290769,324,0.23095551,5
LES IMMEUBLES TOURNESOL INC.,5220  RUE LACORDAIRE,MONTREAL,QC,H1M2P2,45.575996,-73.552569,246,0.644141225,2
MALCOLM THORNE & ASSOCIATES LTD.,85  ALBERT ST.,OTTAWA,ON,K1P6A4,45.422245,-75.69552,309,0.025845551,2
DOUCET & ASSOCIES CONSEILS LTEE,1200  MCGILL COLLEGE AVENUE,MONTREAL,QC,H3B4G7,45.501505,-73.570216,163,0.098580261,5
AMBER TIRE DISTRIBUTORS LTD.,727  7 AVENUE S. WEST,CALGARY,AB,T2P0Z8,51.04447,-114.069241,163,0.922643921,2
BOUTIQUE CEMI SHOES (TORONTO) INC.,7345  HENRI BOURASSA EST,MONTREAL,ON,H1E3T5,45.618152,-73.592162,41,0.170419319,1
LES IMMEUBLES BYBLOS LTEE,80  SOMMERVILLE AVENUE,WESTMOUNT,QC,H3Z1J5,45.476867,-73.603078,156,0.162564958,1
ENTREPRISES EDOUARD ROUILLARD INC.,1027  6E RUE,VAL D'OR,QC,J9P4P4,48.095859,-77.818216,0,0.136514928,2
APHRODITE PRODUCTIONS LTD.,800  PLACE VICTORIA,MONTREAL,QC,H4Z1H6,45.485272,-73.616861,302,0.563243703,1
LES SERVICES DE GESTION MEDICALE YERBAR LTEE,5441  BANNANTYNE AVENUE,VERDUN,QC,H4H1G1,45.452809,-73.576511,28,0.313106902,4
IMPORTATIONS ITALGLAS CANADA LTEE,34  FUTURITY GATE #2,CONCORD,ON,L4K1S6,43.786541,-79.475958,222,0.403887665,4
LOUISEVILLE NAVIGATION COMPANY (CANADA) INC.,141  FIRST STREET,LOUISEVILLE,QC,J5V2L6,46.255814,-72.944152,119,0.490126811,1
BIJOUX MIDAS LTEE,1210  HAENDEL STREET,"CHOMEDEY, LAVAL",QC,H7W3A2,45.544052,-73.755096,18,0.368843729,5
MINTCOR HOLDINGS LTD.,1411  PEEL STREET,MONTREAL,QC,H3A1S5,45.500235,-73.573379,322,0.947900082,4
PARKWAY DRESS (1977) LTD.,491  EGLINTON AVE.,TORONTO,ON,M5N1A8,43.703464,-79.412852,84,0.718630791,2
HOCKEY TITAN (CANADA) LTEE,1155  DORCHESTER BLVD. WEST,MONTREAL,QC,H3B3T1,45.498537,-73.570661,143,0.748857798,1
LES AMENAGEMENTS NADCO LTEE,1250 RENE-LEVESQUE BLVD. WEST,MONTREAL,QC,H3B5E9,45.497394,-73.571571,218,0.288951698,4
DISCO CLUB L'IDEFIXE II 291 INC.,291  OUEST RUE MONT-ROYAL,MONTREAL,QC,H2V2S3,45.517367,-73.589086,19,0.621742992,4
